model,mode,degradation_pct,label,class_name,precision,recall,f1
baseline,zero,25,10,MySQL,1.0000,1.0000,1.0000
baseline,zero,25,11,Virut,0.8132,0.8620,0.8369
baseline,zero,25,12,Weibo,0.9960,0.9920,0.9940
baseline,zero,25,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,zero,25,14,Outlook,1.0000,1.0000,1.0000
baseline,zero,25,15,Facetime,1.0000,1.0000,1.0000
baseline,zero,25,16,Tinba,0.9980,0.9940,0.9960
baseline,zero,25,17,FTP,1.0000,1.0000,1.0000
baseline,zero,25,18,Htbot,0.9529,0.8900,0.9204
baseline,zero,25,19,Skype,1.0000,1.0000,1.0000
baseline,zero,50,0,Shifu,0.9921,1.0000,0.9960
baseline,zero,50,1,Geodo,0.9967,0.6120,0.7584
baseline,zero,50,2,BitTorrent,0.9960,1.0000,0.9980
baseline,zero,50,3,Gmail,1.0000,1.0000,1.0000
baseline,zero,50,4,Neris,0.8313,0.8280,0.8297
baseline,zero,50,5,SMB,1.0000,0.9940,0.9970
baseline,zero,50,6,Nsis-ay,0.7345,0.9740,0.8375
baseline,zero,50,7,Cridex,1.0000,0.8580,0.9236
baseline,zero,50,8,Zeus,0.5923,0.9180,0.7200
baseline,zero,50,9,Miuref,0.8736,0.7600,0.8128
baseline,zero,50,10,MySQL,1.0000,1.0000,1.0000
baseline,zero,50,11,Virut,0.7616,0.6900,0.7240
baseline,zero,50,12,Weibo,0.9960,1.0000,0.9980
baseline,zero,50,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,zero,50,14,Outlook,0.9960,1.0000,0.9980
baseline,zero,50,15,Facetime,1.0000,1.0000,1.0000
baseline,zero,50,16,Tinba,0.9980,0.9940,0.9960
baseline,zero,50,17,FTP,1.0000,1.0000,1.0000
baseline,zero,50,18,Htbot,0.8920,0.7760,0.8299
baseline,zero,50,19,Skype,1.0000,1.0000,1.0000
baseline,zero,75,0,Shifu,0.9921,1.0000,0.9960
baseline,zero,75,1,Geodo,0.9967,0.6120,0.7584
baseline,zero,75,2,BitTorrent,0.9901,1.0000,0.9950
baseline,zero,75,3,Gmail,0.9980,1.0000,0.9990
baseline,zero,75,4,Neris,0.7443,0.7800,0.7617
baseline,zero,75,5,SMB,1.0000,0.9860,0.9930
